pcap,window_start,src,dst,flows_total,unique_dst_ports,syn_count,rst_count
benign.pcap,1769178105.0,192.168.1.130,224.0.0.251,1,1,0,0
benign.pcap,1769178110.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769178115.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769178115.0,142.250.74.142,192.168.1.135,1,1,0,0
benign.pcap,1769178115.0,192.168.1.135,77.88.21.119,1,1,0,0
benign.pcap,1769178130.0,192.168.1.135,45.139.239.54,1,1,0,0
benign.pcap,1769178135.0,192.168.1.135,45.95.201.54,1,1,0,0
benign.pcap,1769178135.0,192.168.1.63,224.0.0.251,1,1,0,0
benign.pcap,1769178140.0,13.50.180.192,192.168.1.63,1,1,2,1
benign.pcap,1769178140.0,142.250.74.142,192.168.1.135,1,1,0,0
benign.pcap,1769178140.0,17.57.146.135,192.168.1.63,1,1,0,0
benign.pcap,1769178140.0,192.168.1.1,192.168.1.63,1,1,0,0
benign.pcap,1769178140.0,192.168.1.63,45.139.239.56,1,1,2,0
benign.pcap,1769178145.0,149.154.167.50,192.168.1.63,1,1,2,0
benign.pcap,1769178145.0,17.248.214.67,192.168.1.63,1,1,2,0
benign.pcap,1769178145.0,192.168.1.135,64.233.162.188,1,1,0,0
benign.pcap,1769178155.0,162.159.200.1,192.168.1.135,1,1,0,0
benign.pcap,1769178155.0,192.168.1.1,192.168.1.135,1,1,0,0
benign.pcap,1769178155.0,192.168.1.135,4.207.247.138,1,1,0,0
benign.pcap,1769178160.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769178160.0,142.250.74.142,192.168.1.135,1,1,0,0
benign.pcap,1769178160.0,192.168.1.1,192.168.1.255,2,2,0,0
benign.pcap,1769178160.0,192.168.1.135,77.88.21.119,1,1,0,0
benign.pcap,1769178165.0,104.166.180.162,192.168.1.77,1,1,0,0
benign.pcap,1769178165.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769178165.0,17.248.214.12,192.168.1.63,1,1,2,3
benign.pcap,1769178165.0,17.248.214.67,192.168.1.63,1,1,2,3
benign.pcap,1769178165.0,17.253.39.133,192.168.1.63,1,1,2,0
benign.pcap,1769178165.0,192.168.1.1,192.168.1.135,1,1,0,0
benign.pcap,1769178170.0,17.248.214.67,192.168.1.63,1,1,2,3
benign.pcap,1769178170.0,192.168.1.1,224.0.0.187,1,1,0,0
benign.pcap,1769178175.0,192.168.1.63,23.73.4.219,1,1,2,3
benign.pcap,1769178185.0,192.168.1.135,239.255.255.250,1,1,0,0
benign.pcap,1769178185.0,192.168.1.135,45.139.239.54,1,1,0,0
benign.pcap,1769178185.0,192.168.1.63,2.17.251.184,1,1,0,2
benign.pcap,1769178190.0,192.168.1.135,45.95.201.54,1,1,0,0
benign.pcap,1769178190.0,192.168.1.135,64.233.162.188,1,1,0,0
benign.pcap,1769178195.0,101.43.180.146,192.168.1.126,1,1,0,0
benign.pcap,1769178195.0,108.177.127.188,192.168.1.126,1,1,0,0
benign.pcap,1769178195.0,192.168.1.126,216.58.207.234,1,1,0,1
benign.pcap,1769178195.0,192.168.1.135,45.95.201.54,1,1,0,0
benign.pcap,1769178200.0,142.250.74.142,192.168.1.135,1,1,0,0
benign.pcap,1769178200.0,17.248.214.67,192.168.1.63,1,1,2,0
benign.pcap,1769178200.0,172.64.41.5,192.168.1.135,1,1,0,0
benign.pcap,1769178200.0,185.26.182.111,192.168.1.135,2,2,4,0
benign.pcap,1769178200.0,192.168.1.1,192.168.1.135,2,2,0,0
benign.pcap,1769178200.0,192.168.1.135,46.62.2.159,1,1,0,0
benign.pcap,1769178205.0,142.250.74.142,192.168.1.135,1,1,0,0
benign.pcap,1769178205.0,172.64.41.5,192.168.1.135,2,2,0,0
benign.pcap,1769178205.0,178.215.158.212,192.168.1.135,1,1,0,0
benign.pcap,1769178205.0,185.26.182.111,192.168.1.135,1,1,2,0
benign.pcap,1769178205.0,185.26.182.118,192.168.1.135,1,1,2,0
benign.pcap,1769178205.0,192.168.1.1,192.168.1.135,4,4,0,0
benign.pcap,1769178205.0,192.168.1.135,45.139.239.54,1,1,0,0
benign.pcap,1769178205.0,192.168.1.135,77.88.21.119,1,1,0,0
