pcap,window_start,src,flows_total,pkts_out,pkts_in,bytes_out,bytes_in,tcp_flows,udp_flows,unique_dst_ports,unique_dst_ips,mean_flow_duration,p95_flow_duration,mean_packets_per_flow,p95_packets_per_flow,syn_count,rst_count,entropy_dst_port,entropy_dst_ip,rst_per_syn,label
benign.pcap,1769177781.0,17.57.146.135,1,14,12,2509,1012,1,0,1,1,12.127277851104736,12.127277851104736,26.0,26.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177784.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.996546983718872,8.996546983718872,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177787.0,192.168.1.135,2,2,1,303,78,1,1,2,2,0.01868295669555664,0.035497617721557614,1.5,1.95,0,0,1.0,1.0,0.0,0
benign.pcap,1769177790.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.990429878234863,8.990429878234863,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177793.0,162.159.200.123,1,1,1,90,90,0,1,1,1,0.0228421688079834,0.0228421688079834,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177793.0,17.188.170.10,1,1,2,74,132,1,0,1,1,0.16534185409545898,0.16534185409545898,3.0,3.0,2,1,-0.0,-0.0,0.3333333333333333,0
benign.pcap,1769177793.0,17.188.171.202,1,13,10,8189,1502,1,0,1,1,1.3688759803771973,1.3688759803771973,23.0,23.0,2,2,-0.0,-0.0,0.6666666666666666,0
benign.pcap,1769177793.0,185.211.245.131,1,14,17,8429,3333,1,0,1,1,7.439913034439087,7.439913034439087,31.0,31.0,2,3,-0.0,-0.0,1.0,0
benign.pcap,1769177793.0,192.168.1.1,1,1,1,158,78,0,1,1,1,0.3602011203765869,0.3602011203765869,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177796.0,172.64.41.5,1,10,10,5376,5391,0,1,1,1,0.10105681419372559,0.10105681419372559,20.0,20.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177796.0,185.26.182.94,1,1,2,505,568,1,0,1,1,0.10734987258911133,0.10734987258911133,3.0,3.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177796.0,192.168.1.135,2,9,9,3134,1038,2,0,1,2,15.073534488677979,28.580126500129698,9.0,14.399999999999999,2,2,-0.0,1.0,0.6666666666666666,0
benign.pcap,1769177799.0,192.168.1.1,2,4,0,344,0,0,2,2,1,4.095471978187561,4.09584995508194,2.0,2.0,0,0,1.0,-0.0,0.0,0
benign.pcap,1769177799.0,192.168.1.77,2,7,5,1203,1545,2,0,2,2,0.08747804164886475,0.166208279132843,6.0,10.5,2,1,1.0,1.0,0.3333333333333333,0
benign.pcap,1769177802.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.024250030517578125,0.024250030517578125,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177808.0,192.168.1.1,1,1,1,142,94,0,1,1,1,0.07372689247131348,0.07372689247131348,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177808.0,192.168.1.135,1,2,3,161,241,1,0,1,1,8.98612093925476,8.98612093925476,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177814.0,192.168.1.135,1,2,3,161,241,1,0,1,1,8.988940954208374,8.988940954208374,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177829.0,192.168.1.135,1,4,0,848,0,0,1,1,1,3.0429439544677734,3.0429439544677734,4.0,4.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177832.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.03748512268066406,0.03748512268066406,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177835.0,172.64.41.5,1,10,11,4819,5536,0,1,1,1,0.19884300231933594,0.19884300231933594,21.0,21.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177835.0,185.26.182.94,1,1,2,512,567,1,0,1,1,0.12229681015014648,0.12229681015014648,3.0,3.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177838.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.99713683128357,8.99713683128357,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177841.0,142.250.74.14,1,13,14,4833,10829,0,1,1,1,0.14905095100402832,0.14905095100402832,27.0,27.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177844.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.990488052368164,8.990488052368164,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177847.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.03184318542480469,0.03184318542480469,2.0,2.0,0,0,-0.0,-0.0,0.0,0
